key,$\Delta$dipole,RMSD,$\Delta$R0,$\Delta$R1,$\Delta$R2,MP2
21769,1.6493764315458799,0.17015102011582728,0.10769586542894645,0.6680271397557289,2.111771849785974,11.627951500003384
21260,1.6547256005570663,0.16891510908253252,0.10327268153872293,0.6648060831219594,2.101528651584633,10.65984450000606
21294,1.6602128216444467,0.15593263757394626,0.09828476144267487,0.6602794273513526,2.1175136655232,9.70177750000122
21510,1.6652258731822538,0.16063840693754486,0.09414179170393953,0.6573700564702759,2.103141494408447,8.876489500005356
21518,1.667248387266603,0.14735572008603626,0.09283162170553097,0.6563516403063413,2.10753359365652,8.582505749998539
21783,1.6671783288472766,0.13759351240760978,0.09279671500487037,0.6559393473898188,2.121584409877434,8.608798000007063
21232,1.6675481277250028,0.13984833543909728,0.09266243568195119,0.6560785335782061,2.1142120060672,8.548307000004627
21278,1.6674135710060067,0.16203779953861902,0.09250197071085808,0.6563576136083165,2.093401268786668,8.545169500003631
21619,1.6680804909445748,0.1480474421245172,0.09182405524393955,0.6553105550172085,2.113118662764581,8.441820250004177
21483,1.668679451610186,0.1322934431891228,0.09125896693510073,0.6543687687464579,2.1318954432357993,8.388922000005756
21475,1.6690335259023836,0.13370272554797782,0.09088782593912023,0.6540643324638997,2.131451662920036,8.329184000003202
21556,1.6697378021635039,0.15645854179158286,0.0905024926865548,0.6546128218658825,2.0990942441052405,8.183164750004472
21692,1.671294964536794,0.13857279302844214,0.08947388360534461,0.6535833968509631,2.112300750784858,7.9732032500031025
21757,1.6718872292066689,0.13398558740477973,0.08894940910142551,0.6530288954983833,2.1177022086991033,7.892632250006777
21489,1.6721119668067361,0.15780853072102557,0.08868664227443447,0.6534313490768311,2.08975056987722,7.840486999999321
21680,1.6725415829530914,0.14064651485290586,0.08802818104285334,0.6521675340241637,2.1179769833569706,7.776105500004924
21593,1.6739581673729607,0.12997282489327247,0.08668692742866581,0.6507269612024823,2.131777511336412,7.597707250002337
21722,1.6741588768045528,0.12145421580454945,0.08660234935435449,0.650505019648595,2.13916101481501,7.6006565000055915
21560,1.674708631848405,0.140815821994725,0.08658483558278547,0.6514123045079988,2.106677919488534,7.465743999998438
21387,1.6756211243261119,0.14021815512573924,0.0856264885319155,0.6504806064289042,2.111305603350723,7.330517750000993
21736,1.9341441796913794,0.17048835666666237,0.0843618552930639,0.5404918792541503,2.098157946806411,7.018775750005126
21258,1.677491710992788,0.11064410155861121,0.08395281554267923,0.6483343093182815,2.144949497240231,7.1644184999994565
21422,1.678336426944727,0.12444166669666663,0.08348537104620851,0.6485595382078205,2.123567180641108,6.9826317500018575
21522,1.678865854662334,0.1483953519889052,0.0833300126300112,0.6493240870065641,2.086568765383172,6.893589500000168
21771,1.6778196486354502,0.15449225024296936,0.08317662896224992,0.6484137602657009,2.1065089474766423,6.987275250002618
21407,1.6800648712287016,0.14347856987973107,0.08255584439257116,0.6488371577958252,2.084249384385032,6.743052250002144
21451,1.6786070832871862,0.14774731899317994,0.08251255906851204,0.6477345503996607,2.1138478600548947,6.887439999999643
21756,1.6795887462794428,0.1197159986230106,0.08236140376915153,0.6475168376352645,2.129388152811539,6.824815499999026
21222,1.9297256683582484,0.1572351811520039,0.08130295147205668,0.5422169827990458,2.09160366464939,6.654010000000454
21577,1.6811452958162452,0.11946357982607785,0.08120222586624042,0.6467513755026333,2.1251434164963148,6.610461499999829
21213,1.6814729745589136,0.12306513350881589,0.08075078221953724,0.6463356755783674,2.125083210687265,6.557688750002875
21572,1.6823718395258922,0.10795815554739843,0.08031157187032892,0.6459089168205466,2.133600491145586,6.483267250007074
21547,1.682530660053392,0.12473161184782497,0.08029135643879592,0.6463985426247644,2.112245319030919,6.41085374999907
21346,1.92442356293523,0.16255186013427736,0.0801507431978107,0.5424478187818005,2.113815747502696,6.136950000003978
21578,1.6846160660903726,0.14401963844968738,0.07881328827559739,0.6459811962676375,2.0780583608258425,6.152700250005232
